question,answer
"If I have an abnormal result on my CBC, what other tests might my healthcare practitioner order as follow up?  ","It depends on the results that are abnormal and the suspected disease or condition as well as your medical history and findings from your physical examination. Your healthcare provider may request that a blood smear examination be done. Other general tests to check your health and to look for possible causes may include a comprehensive metabolic panel (CMP). A few other general examples include:

Abnormal WBC results may be followed by tests for a suspected infection. Some examples include a culture of the affected area (e.g., blood culture, urine culture, sputum culture), a strep test or tests for viruses such as mononucleosis or EBV. If inflammation is suspected, then a CRP or ESR test may be done.
Abnormal RBC results may prompt a reticulocyte count, iron studies, tests for vitamin B12 and folate, G6PD, or hemoglobinopathy evaluation to help make a diagnosis.
An abnormal platelet count may be followed by tests that further evaluate platelets, such as HIT antibody. Additional tests may be done to check for bleeding disorders or excessive clotting disorders such as PT, PTT, von Willebrand factor or coagulation factors.

When a serious condition such as leukemia, lymphoma, myelodysplasia or another bone marrow disorder is suspected, then a bone marrow aspiration and biopsy may be necessary. Numerous other tests specific for certain conditions may be needed to establish a diagnosis, such as flow cytometry, chromosome analysis, and/or gene mutation analysis. Talk to your healthcare provider about the results of your CBC, whether additional tests are necessary, and why."
Are these tests always run as a panel?,"No. Each of these tests may be ordered individually. However, if your healthcare practitioner is interested in following two or more individual CMP components, your practitioner may order the entire CMP because it offers more information. Alternatively, a healthcare provider may order individual tests when monitoring specific conditions."
How is the CMP different than the BMP and why would my doctor order one over the other?,"The CMP typically includes 14 tests. The basic metabolic panel (BMP) is a subset of the CMP and usually includes 8 tests. It does not include the liver tests (ALP, ALT, AST, and bilirubin) and protein tests (albumin and total protein). Healthcare practitioners may order a CMP rather than a BMP if they want to get a more complete picture of the health of your organs or to check for specific conditions, such as diabetes, liver disease, or kidney disease."
One of the results from my CMP is slightly out of range. What does this mean?,"The results of your CMP are interpreted by your healthcare provider within the context of other tests that you have had done as well as other factors, such as your medical history. A single result that is slightly high or low may or may not have medical significance. There are several reasons why a test result may differ on different days and why it may fall outside a designated reference range.

Biological variability (different results in the same person at different times): If a healthcare practitioner runs the same test on you on several different occasions, there's a good chance that one result will fall outside a reference range even though you are in good health. For biological reasons, your values can vary from day to day.
Individual variability (differences in results between different people): References ranges are usually established by collecting results from a large population and determining from the data an expected average (mean) result and expected differences from that average (standard deviation). There are individuals who are healthy but whose tests results, which are normal for them, do not always fall within the expected range of the overall population.

Thus, a test value that falls outside of the established reference range supplied by the laboratory may mean nothing significant. Generally, this is the case when the test value is only slightly higher or lower than the reference range and this is why a healthcare practitioner may repeat a test on you and why the practitioner may look at results from prior times when you had the same test performed.
However, a result outside the range may indicate a problem and warrant further investigation. Your healthcare provider will evaluate your test results in the context of your medical history, physical examination, and other relevant factors to determine whether a result that falls outside of the reference range means something significant for you.
For more, read the articles on Reference Ranges and What They Mean and How Reliable is Laboratory Testing?"
Are all CGM devices the same?,"No, they vary by manufacturer. They all measure glucose in the interstitial space, but the number of days of use and the intended user ages can be different. Some CGMs may trigger an alarm, and the way that they send alerts and/or report can also vary. As they continue to improve, the American Association of Clinical Endocrinologists and American College of Endocrinology (AACE/ACE) and others in the medical community would like to see some standardization with the devices, potentially including:

Default alert levels, such as glucose less than 70 mg/dL for hypoglycemia and glucose greater than 300 mg/dL for hyperglycemia, as well as other triggers that can be programmed by the healthcare practitioner and/or the person wearing the CGM device
Standardized reporting (which would make it easier for people and for healthcare practitioners to evaluate them)
Displays with current glucose levels, trend arrows (i.e., is glucose going up or down), and graphs that show glucose patterns for the last day
Insulin pump data (where applicable) that can be downloaded and viewed along with glucose data"
Can I buy a CGM device over-the-counter?,"No, the CGM devices require a prescription."
Can I monitor my child’s type 1 diabetes with a CGM device?,"Yes, there are CGM devices that can display the results to the person being tested and also send the results to several other peoples' smart phones (such as the parent and healthcare practitioner), send alert text messages, and display graphed data over time."
Can I use a device for longer than indicated?,"No, they are approved for specific periods of use and need to be replaced as indicated by the manufacturer. It is likely that CGM devices will be able to be worn longer in the future as they continue to improve."
Can I choose either a blood (total or free) or urine copper test?,These tests provide complementary information and your healthcare practitioner will determine which tests are necessary to evaluate your condition.
Should I be taking copper supplements or trying to get more copper in my diet?,"In most cases, a regular diet satisfies the body's requirements for copper. Talk to your healthcare practitioner before taking any supplements or changing your diet."
Do I need to have a liver biopsy?,"If Wilson disease is strongly suspected based upon blood, urine, and imaging test results, a liver biopsy may be performed to evaluate how much copper is in your liver and the extent of liver damage."
Should I self-quarantine if I am exposed to someone with COVID-19 or if I have respiratory symptoms?,"Even if you don't show symptoms or do not get tested, health experts recommend quarantining yourself for 10-14 days if you have been exposed to coronavirus by being in close contact with someone who has been confirmed or suspected to have the disease. You may not know if you have been exposed, but if you start to show respiratory signs or symptoms, you should self-quarantine for 14 days."
"If I am infected but don’t have symptoms, can I still spread the virus?","Yes. Some people who have been infected by SARS-CoV-2 don't display any symptoms—they're asymptomatic. However, they can still be contagious and spread the virus to other people (carriers), which is why quarantining is important after you have been exposed to someone with COVID-19, even if you have no symptoms."
Can I test myself for COVID-19 at home?,"Yes. The FDA recently issued emergency use authorizations for some COVID-19 tests that can be used for testing yourself at home. Some of these at-home tests detect viral proteins (antigens) in the sample and a few detect the RNA of the virus. They generally provide results within 15 to 30 minutes. While some require a prescription from a doctor, at least one is available without a prescription. To use the antigen tests, the user must first download the appropriate application (app) for a smart phone.
In addition, there are several commercial laboratories that can send collection kits to patients so they can use them to collect a nasal sample at home, and then send the sample back to the lab for a very specific molecular test.
Although home tests can offer many benefits like rapid results, it's also important to recognize the potential tradeoffs between quality and convenience. Errors can arise with any type of home test because of a number of possible mistakes. These range from improper storage to errors in how you collect your sample and perform the test. For more information and tips on home testing, read With Home Testing, Consumers Take Charge of Their Health."
How accurate is the COVID-19 RT-PCR test?,"While lab professionals and test developers work to ensure that tests are accurate as possible, no test is 100% perfect. The COVID-19 RT-PCR tests are very specific for the virus, but there is a small chance to get a false-positive (testing positive without being infected with the virus). Additionally, a negative RT-PCR test means you were probably not infected at the time the sample was collected, but there is a possibility that there was a problem with sample collection, storage or transport or that not enough virus was present in the sample to be detected. This could lead to a false negative (testing negative despite being infected with the virus). For more in-depth information, see the article How Reliable is Laboratory Testing?"
Should I get a RT-PCR or antigen test a second time or multiple times?,"If you have a negative RT-PCR or antigen test and still show symptoms, you may need to be tested a second time. Your healthcare practitioner will decide if it is necessary for you to be retested. Your healthcare practitioner and/or employer may require additional tests depending on the circumstances."
How long does it take to get RT-PCR test results?,"The amount of time it takes to get COVID-19 test results varies based on where you get tested. Once swabbed, the specimen gets sent to a lab. Sometimes, the lab is onsite, but often, it must be sent to an outside laboratory for processing. There may be a backlog of tests, increasing the amount of time it takes to get results. Therefore, you may get your tests results as quickly as within 24 hours, or it may take between five and 10 days."
What happens if I test positive for the virus?,"If you test positive, you need to take several steps to keep the SARS-CoV-2 virus from spreading to others in your home and community:

Stay home, unless it's to get medical care. Ask others to take care of needs such as grocery shopping.
Stay in touch with your doctor and monitor your symptoms. If your symptoms get worse, call your doctor.
If you have trouble breathing or other severe symptoms, seek medical care immediately.
Stay away from others in your home and use a separate bathroom if possible.
Cover coughs and sneezes with a tissue or with your elbow. Wash your hands thoroughly with soap and water, and often.
Areas and surfaces in your home should be cleaned and disinfected often. The areas where you are isolated should be cleaned every day. (See the CDC's resource on Cleaning and Disinfection for Households.)
If you will be visiting your doctor, call ahead first so they can protect others who may not have the virus by giving you a mask and your own area to wait.

More details can be found at the CDC's COVID-19 resource, Caring for Yourself at Home."
"If I have a positive RT-PCR or antigen test, should my family or household members be tested? ","If you have a confirmed case of COVID-19, all your close contacts (within 6 feet of you for at least 15 minutes) should be tested. If this includes your family or household members, then they should be tested."
Do I need both tests (blood and urine) or is one better than the other?,"If your healthcare provider suspects Cushing syndrome, usually both blood and urine are tested as they offer complementary information. Blood cortisol is easier to collect but is affected more by stress than is the 24-hour urine test. Salivary cortisol may sometimes be tested instead of blood cortisol."
How do I tell if a high cortisol level isn't just from stress? ,There are several approaches that your healthcare provider can take. The simplest involves repeating tests at a time when you feel less stressed. Your healthcare provider can also give you varying doses of a medicine that replaces cortisol (usually dexamethasone) to see if this decreases your cortisol level. Multiple tests are often needed to tell if stress or disease is causing a high cortisol level.
Should everyone with muscle pain and weakness have a CK test?,"Muscle pain and weakness are common symptoms that are seen with many temporary conditions. General, routine CK testing is usually not required. However, if someone is taking a drug or has been exposed to a substance that has been linked with potential muscle damage and presents with muscle weakness, muscle aches, and/or dark urine, then CK testing may be indicated."
Is there anything I can do to lower my CK level?,"CK levels are a reflection of muscle damage. Temporary increases are seen with strenuous exercise but are not typically a concern unless severe or combined with extreme heat or humidity. An Increase in CK that is due to exposure to a toxin or a drug can be resolved by avoiding the toxin and/or potentially stopping taking the drug or changing therapy. You should not, however, stop taking a medication without first consulting with your healthcare provider. Increases in CK that are due to an underlying disease, such as uncontrolled diabetes or hypothyroidism, may resolve by controlling the condition."
Is the CK test used for purposes other than detecting skeletal muscle damage?,"The CK test was once one of the primary tests ordered to help diagnose a heart attack, but in the U.S., this use of CK has been largely replaced by the troponin test. However, the CK test may sometimes be used to help detect a second heart attack that occurs shortly after the first. A series of CK tests may be used to monitor heart damage to see if it resolves or continues.
The heart damage that occurs during a heart attack can cause increased CK levels within a few hours. Levels peak within 12 to 24 hours and then return to normal within 2 to 4 days. If additional damage occurs or it is ongoing, such as during a second or subsequent heart attack, then CK levels may stay elevated.
Sometimes, the CK test may be ordered when a heart attack is suspected and a troponin test is not available. In this case, when CK is elevated, a CK-MB test may be used as a follow-up test to determine whether the increase is due to heart damage or skeletal muscle damage.
Chest pain and increased CK levels plus elevated CK-MB indicate that it is likely that a person has recently had a heart attack. Levels that drop, then rise again may indicate a second heart attack and/or ongoing heart damage."
My creatinine result is slightly out of range. What does this mean?,"Your creatinine result is interpreted by your healthcare provider within the context of other tests that you have had done as well as other factors, such as your medical history. A single result that is slightly high or low may or may not have medical significance. This is why a healthcare practitioner may repeat a test on you and why they may look at results from prior times when you had the same test performed.
However, a result outside the range may indicate a problem and warrant further investigation. Your healthcare provider will evaluate your test results in the context of other relevant factors to determine whether a result that falls outside of the reference range means something significant for you.
For more, read the article Reference Ranges and What They Mean."
Will exercise affect my creatinine levels?,"In general, moderate exercise will not affect your creatinine levels. As you continue to exercise and build muscle mass, your creatinine levels may increase slightly but not to abnormal levels."
How does diet affect creatinine levels?,Some studies have shown that eating cooked meat prior to testing can temporarily increase the level of creatinine. Creatinine levels may be 10%-30% higher in people who eat a diet that is very high in meat.
What can I do to make my creatinine level normal?,"Creatinine is a reflection of processes that are going on in your body and of kidney function. It is not generally responsive to lifestyle changes. If you have an elevated creatinine that is due to a temporary condition, such as a kidney infection, then it should return to normal as the infection resolves. If it is elevated due to an underlying chronic condition that can affect kidney function, such as diabetes, then it will reflect changes in kidney function and is likely to stabilize if or when the condition is under control."
Do creatinine levels change with age?,"Creatinine levels relate to both muscle mass and to kidney function. As you age, your muscle mass decreases but your kidneys tend to function less effectively. The net result is not much change in creatinine levels in the blood as you get older."
Why would a urine creatinine be ordered along with a urine drug test?,"When people are having drugs-of-abuse testing performed, they may try to ""trick the system"" by diluting their urine with water (directly or by drinking lots of water) or by adding another adulterating substance to the urine. Since creatinine is produced and released into the urine at a constant rate, it should be present in a normal concentration. The test can be ordered, along with other tests such as a pH and specific gravity and/or tests for adulterants, to help evaluate the validity of a urine sample. If the creatinine is lower than typically seen in a human urine, then it is more likely that the sample has been tampered with or that the person has had too much water to drink. In both of these cases, the urine sample will not be considered suitable for testing and will need to be recollected."
Why do I have to collect my urine for 24 hours?,"A 24-hour urine sample is required instead of a random urine sample because the amount of creatinine in the urine will vary somewhat during the course of a day. By collecting all urine for 24 hours, the amount of creatinine in the urine can be averaged over the entire day and will give a better indication of what is going on in the body."
What should I do if I forget to save one urine sample during the collection?,"If you do not have a complete collection, the results will not be valid. You should call your healthcare practitioner's office or the laboratory where you obtained your collection container to ask if you should discontinue the test and begin again another day."
Are there other ways to estimate or determine the glomerular filtration rate (GFR) of my kidneys?,"Yes. The GFR can be estimated with a simple blood creatinine test (see the article on eGFR). Given a measurement of the amount of creatinine in a blood sample, the healthcare practitioner will use a formula to estimate the rate at which the kidneys are filtering blood. The formulas take relevant factors into account, such as the person's age, weight, height, and ethnicity.
The collection of a 24-hour urine specimen needed for the creatinine clearance test can be impractical to obtain, so the eGFR calculations are usually the preferred method for evaluating kidney function. The creatinine clearance test specifically may be ordered when a healthcare practitioner suspects a problem with blood flow to the kidneys."
Is there something I can do to get rid of my cryoglobulins?,"In general, no. If they are due to a temporary condition, such as a bacterial infection, then they may go away when the infection resolves. If they are due to a chronic condition, such as an autoimmune disorder, then they are likely to persist. In some cases, apheresis may be performed to remove cryoglobulins from the blood and to relieve symptoms, but this may help only temporarily."
What are some other tests that may be done to determine the underlying cause of cryoglobulinemia?,"In addition to protein electrophoresis and, depending on the suspected underlying condition, other tests that may be performed include hepatitis C, ANA, mono test and rheumatoid factor, to name a few."
Should everyone be tested for CCP antibody?,"No. CCP antibody is not recommended as a screening test. Like RF, it is best used to evaluate individuals whose clinical signs suggest RA or who have already been diagnosed with undifferentiated arthritis."
Can I be tested for CCP antibody in my doctor's office?,Anti-CCP testing is widely available and may be tested for by your physician. This test may not be available in all laboratories but can be routinely sent to a reference laboratory.
Will my CCP antibody ever go away?,"Like other autoantibodies, once developed by the body's immune system, levels of CCP antibodies may fluctuate over time but will not go away. CCP antibody levels may decrease with treatment."
What other tests might my doctor order in evaluating me for RA?,"Your healthcare provider may choose to order an ESR and/or CRP, tests that detect inflammation. The healthcare practitioner may also order a complete blood count (CBC) to check for a high white blood cell count, another sign of inflammation, and to check for anemia, a condition common in people with RA. For added information, an analysis of joint fluid (synovial fluid) may be performed. In addition, your healthcare provider may also order antinuclear antibody (ANA) testing. A negative ANA helps exclude lupus and other systemic rheumatic diseases; the ANA may be positive in up to one-third of patients with RA."
Will this CF gene mutation panel detect any other genetic diseases?,"No, it is only checking for specific CF mutations. Currently, every genetic disease requires specific DNA testing to identify it (assuming that the gene and mutations causing it are known)."
Does this test detect all genetic causes of cystic fibrosis?,"No. To date, more than 2,000 different mutations of the CFTR gene that cause cystic fibrosis have been identified, but only a few of the mutations are common. Some laboratories use the standard panel recommended by the American College of Medical Genetics and the American College of Obstetricians and Gynecologists that tests for 23 of the most common mutations (those with frequencies greater than 0.1% in the general U.S. population). Some laboratories offer expanded panels of up to 100 or more mutations. However, even these will not detect all genetic causes of cystic fibrosis."
Does my risk of being a carrier vary depending on my ethnic background?,"Yes. Generally, the frequency of CF carriers is highest in Caucasians and Ashkenazi Jewish populations and is lower in other ethnic groups. According to the American College of Obstetricians and Gynecologists, the risk of being a carrier before genetic testing for different ethnic groups are estimated as follows:

Caucasians: 1 in 25
Ashkenazi Jewish: 1 in 24
Hispanic white: 1 in 58
African American: 1 in 61
Asian American: 1 in 94

Since the ancestry of the U.S. population is becoming increasingly blended, the historical data and statistical risks are changing. Quoted risks based on ancestry are estimates, and the risk for individuals of mixed ancestry may be unknown. Some families may also carry the additional risk of specific rare mutations within their family tree."
Do all states require or offer newborn screening for CF? Do I need to request it?,"Every state's newborn screening program includes a test for cystic fibrosis, so you will not need to request it. The method used may vary, with some states performing a blood test to determine the level of immunoreactive trypsinogen (IRT) and others screening for CF with gene mutation testing."
How can I tell if my cytomegalovirus (CMV) has reactivated?,"If you are a reasonably healthy person, you will probably not have a symptomatic reactivation or may have mild flu-like symptoms. If you are immune-compromised, you may have more serious symptoms associated with your lungs, digestive tract, or eyes. In this case, it is important to talk to your healthcare provider about your health concerns."
"If I have or had CMV, can I spread it to others?","If you have a new or prior infection with CMV, you can spread it to others even if you aren't showing signs or symptoms. If symptoms appear, they can develop 9 to 60 days after primary infection. Nevertheless, you must be in close contact with others in order to transmit the virus. It can be spread through several types of body fluids, including saliva, breast milk, vaginal fluids, semen, urine, and blood."
What are some common risk factors for inappropriate blood clotting?,"Some risk factors include:

Major surgery or trauma
Hospitalization or living in a nursing home
Prolonged immobility—this can include long trips by plane, car, etc. or prolonged bed rest
Use of birth control or hormone replacement therapy
Broken bone, cast
Pregnancy or recent childbirth
Antiphospholipid syndrome
Certain cancers
Inherited clotting disorder such as factor V Leiden mutation
History of prior venous thromboembolism (VTE)
Obesity
Smoking"
What other procedures might my healthcare practitioner order if my D-dimer is positive?,"In an emergency room setting, if you are found to be at low to intermediate risk for thrombosis and/or venous thromboembolism and when you have a positive D-dimer test, your healthcare practitioner will likely order a non-invasive scanning procedure, such as a venous ultrasound, multi-detector helical computed axial tomography (CT), direct pulmonary angiography, or ventilation-perfusion (V/Q) scan. For more on these, see RadiologyInfo.org: Blood Clots."
Can dengue fever be passed from person to person?,"No, the virus is not spread by person-to-person contact or by exposure to respiratory secretions. The virus is spread when a mosquito bites an infected person, then bites a healthy person. It may be transmitted in rare cases through a blood transfusion, organ donation, or mother to fetus."
"If I have had dengue fever, can I get it again? ","Yes. There are four types (serotypes) of the dengue virus. You may be infected with one serotype and then infected later with a different serotype. There is no cross-protective immunity to all dengue viruses when you are exposed to one serotype. In addition, a subsequent infection with a dengue fever virus is usually associated with more severe disease."
"If I have liver cancer in my family, should I be tested for DCP?",DCP is not intended to be used to screen the general population or those who are healthy. A DCP test may be occasionally performed if you have chronic liver disease and your healthcare practitioner wants the additional information it may offer.
"If I have hepatitis, should I have a DCP test performed?","You should talk to your healthcare practitioner. Guidelines by the American Association for the Study of Liver Diseases (AASLD) do not recommend using DCP as a screening test for the development of HCC, but it is used for this purpose in some other parts of the world."
Does my sample for a DHEAS level have to be drawn at a certain time of day like other hormone tests?,"Some hormones are increased in the morning while others rise and fall throughout the day. Some are released intermittently or with increased activity or in response to stress. Some hormones are higher at particular times of the month, and others are relatively stable. Blood sample collection for some hormone tests are timed so that the hormones can be evaluated at their highest or lowest levels. The DHEAS concentration, however, is stable, so your sample may be collected any time of day and it will not affect the result of the test."
Does everyone with elevated DHEAS have symptoms?,"Not necessarily. It may be difficult to determine when adult men have an elevated level of DHEAS (since they already have masculine secondary sexual characteristics) and women of some ethnic groups (for example, Asian women) may have elevated levels of testosterone and DHEAS without exhibiting symptoms such as excess hair growth or acne. Also, it should be noted that symptoms and their severity will vary from person to person."
Can the DHEAS test be performed in my healthcare practitioner's office?,"No, the testing requires specialized equipment and is not performed in every laboratory. Your blood may need to be sent to a reference laboratory for testing."
How long will I need to be on digoxin?,"Digoxin is prescribed to treat heart failure, a long-term, chronic condition. It will not cure heart failure but will help to control it. You may have to take digoxin — and have tests to monitor its level in the blood — for the rest of your life."
Who orders digoxin tests?,"Your primary care provider may order the test, but a cardiologist may also monitor levels of digoxin in your blood."
Why is it important to have my blood drawn for my digoxin test at a certain time?,"Timing of the digoxin blood test is important because if the sample is drawn too soon after a dose, the results of the test may be erroneously high and will show a toxic level when that is not the case. Typically, a blood sample should be drawn 6-8 hours after a dose. Many times, the blood sample will be drawn just before the next dose is to be taken."
Can I get antibodies from donating blood?,"No, you will not be exposed to anyone else's blood while donating."
"If a mother has an incompatibility with one child, will she have them with all of her children? ","It depends on whether the baby has the corresponding antigens for the mother's antibodies. A baby born to a blood group O mother may have hemolytic disease of the newborn in any pregnancy. When a mother is Rh-negative, she may develop antibodies against the red blood cells of her first Rh-positive child if she does not receive prophylaxis. Any subsequent Rh-positive children may then be affected by the mother's Rh antibodies. Fortunately, this is now relatively rare as Rh-negative mothers are tested during and after their pregnancy and are given RhIg (RhImmune Globulin, Rhogam) injections to prevent the development of Rh antibodies. Other antibodies may also recur in subsequent pregnancies and need to be discussed with the mother's healthcare provider."
Why doesn't a drug screen measure all drugs?,"Drug tests are set up for their specific uses, typically workplace and legal testing. Some laboratories may offer more than one drug screen panel or a health practitioner, or other authorized entity, may select tests individually."
Why might a healthcare provider only test for a single drug?,"If a health practitioner strongly suspects that a person has taken a specific drug or is monitoring the person for previous abuse of that substance, then the practitioner may order only that drug test. Another reason for ordering a single test is if the suspect drug is not part of an offered drug screen."
Why would someone be tested for something that is legal?,"A substance can be legal but may be banned in certain circumstances. For instance, an insurance company may test an insurance applicant for nicotine to verify the person's assertion that he or she is not currently using tobacco. In the case of prescription medications, the high addictive potential for certain medications makes drug testing important. In the case of some athletes, many of the prohibited substances are legal but have the potential to affect the athlete's performance. Athletes must exercise caution in their choices of medications as they are ultimately responsible for any substances detected in their bodies."
What other testing might be done?,"ALK and/or ROS1 mutation testing are recommended to determine whether a person's tumor would be likely to respond to specific targeted therapies that are effective when an ALK or ROS1 mutation is detected. Testing for mutations in other genes (e.g., KRAS) may be offered for lung cancer patients if there is enough tissue sample available."
How long does it take for EGFR testing results?,"EGFR mutation testing is not available in every laboratory. If a healthcare practitioner sends a sample to a reference laboratory and depending on the test method used, the results may take a few days to several days before they are available."
Can I have my blood tested instead of having a tissue biopsy?,"For diagnosis of your tumor, you will need a conventional tissue biopsy. In addition, blood tests for circulating tumor DNA (ctDNA), also called liquid biopsies, may be done to detect EGFR mutations in the tumor that can predict potential responsiveness or resistance to targeted therapies.

CtDNA testing may be used to detect mutations that make the tumor sensitive to targeted therapy (sensitizing mutations). However, ctDNA testing is known to sometimes give false-negative results (meaning the mutation is present but not detected by the ctDNA testing). For this reason, the FDA recommends a tissue biopsy if the liquid biopsy is negative (doesn't detect a sensitizing mutation).
In addition, a liquid biopsy may be used to detect an EGFR T790M mutation, which causes resistance to targeted therapy. However, data are currently limited on this, so a liquid biopsy may be used only if a tissue biopsy cannot be obtained.

Also, patients may wish to consult their health insurance company as to whether this blood testing would be covered."
What is the difference between EGFR (also known as HER-1) and HER-2?,"EGFR and HER-2 are both members of the same family of cell membrane receptors. When either EGFR or HER-2 is significantly increased in a cancer, it often indicates a more aggressive tumor and a poorer patient prognosis. The primary differences between EGFR and HER-2 testing are that they are ordered to help evaluate different types of cancer and that the drugs that have been developed to target them are specific for that particular receptor, EGFR or HER-2. HER-2 is evaluated in breast cancer and cancer of the stomach and esophagus (gastroesophageal adenocarcinoma)."
Are there other types of testing that evaluate EGFR in tumors?,"There are tests available that identify other changes in EGFR known as gene amplification, which means an abnormally increased number of copies of the EGFR gene are present in the tumor cells. Another type of test looks at the amount of EGFR protein present on the tumor cells. These tests are not helpful for identifying patients with lung cancer who may benefit from EGFR-targeted tyrosine kinase inhibitor therapy. However, they may have a role in other types of cancer. For example, sometimes tests for EGFR gene amplification are used to determine the likely course (prognosis) of cancer of the head and neck."
"Besides lung cancer, are there other types of cancers that have increased EGFR protein?","Other types of cancer that may have increased EGFR protein present include colon cancer, glioblastoma (a type of brain cancer), and cancers of the head and neck, breast, and pancreas. EGFR blocking agents are routinely used for treatment of metastatic colon cancer and are used with some head and neck cancers. The utility of EGFR inhibitors and their correlation with EGFR mutations in different types of cancers hasn't been fully established but continues to be investigated."
One of the results from my electrolyte panel is slightly out of range. What does this mean?,"The results of your electrolyte panel are interpreted by your healthcare practitioner within the context of other tests that you have had done as well as other factors, such as your medical history. A single result that is slightly high or low may or may not have medical significance. There are several reasons why a test result may differ on different days and why it may fall outside a designated reference range.

Biological variability (different results in the same person at different times): If a healthcare practitioner runs the same test on you on several different occasions, there is a good chance that one result will fall outside a reference range even though you are in good health. For biological reasons, your values can vary from day to day.
Individual variability (differences in results between different people): References ranges are usually established by collecting results from a large population and determining from the data an expected average (mean) result and expected differences from that average (standard deviation). There are individuals who are healthy but whose tests results, which are normal for them, do not always fall within the expected range of the overall population.

So, a test value that falls outside of the established reference range may mean nothing significant. Generally, this is the case when the test value is only slightly higher or lower than the reference range and is why a healthcare practitioner may repeat a test on you and why the practitioner may look at results from prior times when you had the same test performed.
However, a result outside the range may indicate a problem and warrant further investigation. Your healthcare practitioner will evaluate your test results in the context of your medical history, physical exam, and other relevant factors to determine whether a result that falls outside of the reference range means something significant for you. For more, read the article on Reference Ranges and What They Mean."
Why would an ER doctor want to know about all other medications and supplements that a person has taken when it is known that the person has taken a large quantity of a specific drug? ,It is important for the health practitioner to consider what drug interactions might be contributing to a person's symptoms.
How would an ER physician evaluate an unconscious person or a child who is unable to tell what he or she has taken?,"The health practitioner would select tests based upon the person's clinical findings. The healthcare provider would consider an overdose but also other medical conditions. If the results of initial testing (such as tier one tests) do not show the cause of the person's symptoms and that person's status is unchanged, then additional tests may be ordered to further investigate the cause."
Why might an ER doctor test a person for acetaminophen if he or she denies taking it?,"The person might not realize that one or more of the medications that he or she is taking has acetaminophen in it and the person may not initially have symptoms. However, it is important to detect the presence of an overdose of acetaminophen so that the proper treatment can be given as soon as possible after ingestion."
Do adults get mono?,"They do, but it is rare because most have already been infected with EBV at an earlier age. When they do, they tend to have less lymph node swelling and sore throat and more liver enlargement and jaundice."
Do EBV infection and mono occur throughout the world?,"Yes. In emerging nations, however, mono is not as common because most of the population is infected with EBV earlier in life when symptoms are minimal."
"If I have had EBV infection, can I still get mono?","No. Once you have had an EBV infection, you will not get mono. You could, however, experience similar symptoms from another viral illness. In individuals with weakened immune systems, the virus can reactivate and cause illness."
"Why is mono sometimes called ""the kissing disease""?","This is because EBV is present in the saliva of an infected individual and is commonly spread through kissing. It can also be spread, especially in the case of children, through saliva transfer to hands and/or toys and by sharing utensils or cups."
Are there other types of tests available for EBV?,Yes. There are molecular tests that can detect and measure EBV DNA.
How long will it take for my ESR result?,"That depends on the laboratory performing the test. Results may be available the same day or, if the sample is sent to a reference laboratory, it may take a day or two for your results.
Traditional ESR tests are read by a technician one hour after the test is started. Newer methods can be read at 20-30 minutes; and there are now commercial rapid tests available that use a centrifugal method and can be read five minutes after setup. This new method is being used more widely to shorten waiting times for patients, particularly in emergency departments."
What causes inflammation?,"Inflammation can occur over the short term (acute) or over a long period of time (chronic) and can be caused by a variety of conditions and disease. Some examples include:

Infections
Arthritis
Autoimmune diseases, such as lupus
Inflammatory bowel disease

 "
What other tests might my doctor order besides ESR?,"Your health practitioner may order the C-reactive protein (CRP) test as well as other general tests, such as a comprehensive metabolic panel (CMP) or a complete blood count (CBC), at the same time as the ESR. ESR and C-reactive protein (CRP) are both markers of inflammation. Generally, ESR does not change as rapidly as does CRP, either at the start of inflammation or as it resolves. CRP is not affected by as many other factors as is ESR, making it a better marker of inflammation. However, because ESR is an easily performed test, many healthcare practitioners still use ESR as an initial test when they think a patient has inflammation.
Examples of other tests that may be ordered based on your symptoms include antinuclear antibody (ANA), rheumatoid factor (RF), fibrinogen or serum protein electrophoresis. An elevated ESR is typically a result of two types of proteins, globulins or fibrinogen. Depending on your medical history, signs, symptoms and what your health practitioner suspects is the cause, he or she may order a fibrinogen level (a clotting protein that is another marker of inflammation) and a serum protein electrophoresis to determine which of these (or both) is causing the elevated ESR. If severe infection is suspected, a blood culture may be done."
What do changes in my ESR mean?,"Changes in the ESR may indicate the presence or abatement of infection or inflammation. If you have a chronic inflammatory disease, the ESR may fluctuate with the degree of severity or clinical course of your condition."
Is there a treatment for low EPO?,"A synthetic form of erythropoietin (recombinant human erythropoietin or rh-EPO) may be used as a treatment to help increase RBC production in people with chronic kidney disease and other anemias related to bone marrow suppression and/or failure, such as that due to radiation or chemotherapy treatment for cancer. The drug treatment, which is given through a vein (intravenously) or under the skin (subcutaneous injection), is expensive and its stimulation of the bone marrow lasts only a few hours. The synthetic hormone's use has been promising, helping to decrease the need for blood transfusions and improving the quality life for many affected people.
In June 2011, The U.S. Food and Drug Administration (FDA) recommended that healthcare professionals adjust the ESAs for more conservative dosing in patients with chronic kidney disease (CKD) to improve the safety of these drugs. The data indicated increased risks of cardiovascular events (e.g., heart attacks and strokes) with ESAs in this patient population.
If you produce an abnormal form of hemoglobin, such as may occur with thalassemia, or if you have a bone marrow disorder, then erythropoietin replacement therapy will not help resolve the anemia."
